-9650.4912109375,-10619.7158203125
-9461.9443359375,-10809.6591796875
-9489.197265625,-11153.849609375
-9492.7421875,-11585.1162109375
-9545.830078125,-11961.6728515625
-9573.673828125,-12460.486328125
-9589.98046875,-12897.865234375
-9581.64453125,-13272.8642578125
-9539.255859375,-13575.67578125
-9549.2783203125,-13907.287109375
-9517.126953125,-14266.6240234375
-9479.744140625,-14858.1962890625
-9489.3154296875,-15191.923828125
-9462.599609375,-15580.3291015625
-9484.3740234375,-15958.98046875
-9504.7412109375,-16983.3125
-9507.673828125,-17397.9609375
-9575.048828125,-17827.86328125
-9635.18359375,-18220.88671875
-9655.8515625,-19199.490234375
-9655.20703125,-19565.63671875
-9693.9326171875,-19961.390625
-9861.607421875,-20365.73828125
-10087.2255859375,-20572.78125
-10438.0654296875,-20755.302734375
-10742.767578125,-21292.53125
-10866.1953125,-21740.953125
-11046.255859375,-22380.0703125
-11350.8935546875,-23104.8671875
-11753.5,-23930.5
-11902.7197265625,-24197.271484375
-12204.306640625,-24712.251953125
-12502.4990234375,-25255.892578125
-12708.8779296875,-25603.3046875
-12836.248046875,-25778.5859375
-13022.818359375,-26109.896484375
-13323.921875,-26707.90234375
-13433.7607421875,-27066.60546875
-13481.080078125,-27623.62109375
-13665.3623046875,-28124.08984375
-14054.5517578125,-28540.037109375
-14236.10546875,-28972.63671875
-14441.4853515625,-29306.5234375
-14940.341796875,-29761.810546875
-15335.8154296875,-30225.66796875
-15764.890625,-30569.966796875
-16111.77734375,-30921.2890625
-16399.001953125,-31172.560546875
-16682.810546875,-31486.45703125
-16995.7734375,-31738.673828125
-17329.060546875,-32096.09765625
-17558.07421875,-32292.583984375
-17880.83203125,-32583.482421875
-18085.12890625,-32906.4453125
-18276.9296875,-33186.61328125
-18473.5,-33457.97265625
-18586.669921875,-33784.5234375
-18780.984375,-34114.94140625
-19003.94921875,-34510.6328125
-19157.595703125,-34570.8515625
-19247.98046875,-34580.1875
11956.1943359375,12389.244140625
